A6 - Total Enrolment by Program,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of degree seeking students (headcount) enrolled for Fall 2022, including domestic and international students.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Degree Level:,Bachelor's and 1st Professional Degree,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time/Part-Time:,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
University:,Trent University,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,,,,,,,,,,,,,,
Agriculture & Biological Science,1904,1818,1711,1601,1422,1353,1270,1145,1077,995,863,,,,,,,,,,,,,,
Business & Commerce,1408,1380,1370,1267,1138,965,836,686,650,602,567,,,,,,,,,,,,,,
Computer Science,545,460,353,291,220,173,157,134,120,107,87,,,,,,,,,,,,,,
Education,347,366,384,325,331,306,265,132,242,233,270,,,,,,,,,,,,,,
Fine & Applied Arts,86,85,71,71,61,77,74,86,68,98,119,,,,,,,,,,,,,,
Humanities,745,730,817,743,712,693,753,813,854,960,997,,,,,,,,,,,,,,
Journalism,0,0,0,6,18,23,29,28,36,30,27,,,,,,,,,,,,,,
"Kinesiology, Recreation & Phys. Educ.",0,0,0,0,0,0,0,66,0,0,0,,,,,,,,,,,,,,
Mathematics,74,80,86,84,68,80,72,83,71,69,80,,,,,,,,,,,,,,
Nursing,958,909,803,910,901,872,832,772,742,664,613,,,,,,,,,,,,,,
Other Arts & Science,555,489,519,556,523,498,430,399,426,544,577,,,,,,,,,,,,,,
Physical Science,149,167,182,179,147,162,156,153,123,134,117,,,,,,,,,,,,,,
Social Science,2824,2753,2696,2676,2496,2357,2230,2104,2010,1990,2028,,,,,,,,,,,,,,
Not Reported,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
TOTAL: DOMESTIC ENROLMENT,8589,8391,8186,8035,7549,7167,6717,6164,5999,5953,5868,,,,,,,,,,,,,,
TOTAL: INTERNATIONAL ENROLMENT,1174,1004,918,748,569,485,472,437,462,473,477,,,,,,,,,,,,,,
TOTAL ENROLMENT,9762,9395,9105,8783,8118,7652,7189,6601,6461,6426,6345,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,